date,amount,description,key,Status
2025-02-09,1170.18,invoice payment - francis-rodriguez,"(Timestamp('2025-02-09 00:00:00'), 1170.18, 'invoice payment - francis-rodriguez')",Matched
2025-02-09,5800.39,service fee - berger-garza,"(Timestamp('2025-02-09 00:00:00'), 5800.39, 'service fee - berger-garza')",Matched
2025-02-20,9420.56,"salary transfer - hernandez, kerr and payne","(Timestamp('2025-02-20 00:00:00'), 9420.56, 'salary transfer - hernandez, kerr and payne')",Matched
2025-01-14,7002.21,"travel expense - williams, brown and patel","(Timestamp('2025-01-14 00:00:00'), 7002.21, 'travel expense - williams, brown and patel')",Matched
2025-01-02,8510.8,equipment purchase - ruiz-short,"(Timestamp('2025-01-02 00:00:00'), 8510.8, 'equipment purchase - ruiz-short')",Matched
2025-03-08,9658.19,travel expense - rodriguez ltd,"(Timestamp('2025-03-08 00:00:00'), 9658.19, 'travel expense - rodriguez ltd')",Matched
2025-03-20,8101.17,"customer refund - dean, bowman and ramirez","(Timestamp('2025-03-20 00:00:00'), 8101.17, 'customer refund - dean, bowman and ramirez')",Matched
2025-03-03,4702.25,"insurance payout - goodman, odonnell and washington","(Timestamp('2025-03-03 00:00:00'), 4702.25, 'insurance payout - goodman, odonnell and washington')",Matched
2025-01-04,4993.63,bank charges - hernandez and sons,"(Timestamp('2025-01-04 00:00:00'), 4993.63, 'bank charges - hernandez and sons')",Matched
2025-01-24,4926.74,"bank charges - sanchez, nguyen and padilla","(Timestamp('2025-01-24 00:00:00'), 4926.74, 'bank charges - sanchez, nguyen and padilla')",Matched
2025-01-11,2489.42,service fee - harrison plc,"(Timestamp('2025-01-11 00:00:00'), 2489.42, 'service fee - harrison plc')",Matched
2025-03-04,5596.24,salary transfer - hopkins and sons,"(Timestamp('2025-03-04 00:00:00'), 5596.24, 'salary transfer - hopkins and sons')",Matched
2025-03-30,4813.32,equipment purchase - collins group,"(Timestamp('2025-03-30 00:00:00'), 4813.32, 'equipment purchase - collins group')",Matched
2025-02-07,2293.8,salary transfer - wells-smith,"(Timestamp('2025-02-07 00:00:00'), 2293.8, 'salary transfer - wells-smith')",Matched
2025-02-13,1925.2,"invoice payment - cruz, roberts and vega","(Timestamp('2025-02-13 00:00:00'), 1925.2, 'invoice payment - cruz, roberts and vega')",Matched
2025-01-29,7779.37,"service fee - hill, richardson and foster","(Timestamp('2025-01-29 00:00:00'), 7779.37, 'service fee - hill, richardson and foster')",Matched
2025-01-13,9481.14,"salary transfer - kent, porter and rivera","(Timestamp('2025-01-13 00:00:00'), 9481.14, 'salary transfer - kent, porter and rivera')",Matched
2025-03-22,2189.15,vendor payment - proctor and sons,"(Timestamp('2025-03-22 00:00:00'), 2189.15, 'vendor payment - proctor and sons')",Matched
2025-02-07,423.13,travel expense - knight inc,"(Timestamp('2025-02-07 00:00:00'), 423.13, 'travel expense - knight inc')",Matched
2025-03-24,1575.0,travel expense - yang-anderson,"(Timestamp('2025-03-24 00:00:00'), 1575.0, 'travel expense - yang-anderson')",Matched
2025-01-19,806.96,"office rent - lopez, sanchez and riley","(Timestamp('2025-01-19 00:00:00'), 806.96, 'office rent - lopez, sanchez and riley')",Matched
2025-02-06,4447.62,equipment purchase - johnson-lucas,"(Timestamp('2025-02-06 00:00:00'), 4447.62, 'equipment purchase - johnson-lucas')",Matched
2025-03-30,3110.5,"service fee - humphrey, romero and glover","(Timestamp('2025-03-30 00:00:00'), 3110.5, 'service fee - humphrey, romero and glover')",Matched
2025-02-04,5054.67,"equipment purchase - flowers, nguyen and brown","(Timestamp('2025-02-04 00:00:00'), 5054.67, 'equipment purchase - flowers, nguyen and brown')",Matched
2025-02-02,356.06,salary transfer - lowery ltd,"(Timestamp('2025-02-02 00:00:00'), 356.06, 'salary transfer - lowery ltd')",Matched
2025-03-15,498.29,office rent - gallegos-salinas,"(Timestamp('2025-03-15 00:00:00'), 498.29, 'office rent - gallegos-salinas')",Matched
2025-02-10,2598.75,vendor payment - garner-martin,"(Timestamp('2025-02-10 00:00:00'), 2598.75, 'vendor payment - garner-martin')",Matched
2025-02-22,636.62,"customer refund - thomas, wilson and powers","(Timestamp('2025-02-22 00:00:00'), 636.62, 'customer refund - thomas, wilson and powers')",Matched
2025-02-16,6264.08,equipment purchase - aguilar-foster,"(Timestamp('2025-02-16 00:00:00'), 6264.08, 'equipment purchase - aguilar-foster')",Matched
2025-01-16,385.81,insurance payout - thompson-baxter,"(Timestamp('2025-01-16 00:00:00'), 385.81, 'insurance payout - thompson-baxter')",Matched
2025-01-31,7126.85,"travel expense - hayden, greer and english","(Timestamp('2025-01-31 00:00:00'), 7126.85, 'travel expense - hayden, greer and english')",Matched
2025-03-12,235.38,service fee - garza-jones,"(Timestamp('2025-03-12 00:00:00'), 235.38, 'service fee - garza-jones')",Matched
2025-01-12,2324.54,vendor payment - brown ltd,"(Timestamp('2025-01-12 00:00:00'), 2324.54, 'vendor payment - brown ltd')",Matched
2025-02-23,3464.76,"customer refund - boyd, fitzpatrick and carney","(Timestamp('2025-02-23 00:00:00'), 3464.76, 'customer refund - boyd, fitzpatrick and carney')",Matched
2025-02-04,8223.44,travel expense - martinez plc,"(Timestamp('2025-02-04 00:00:00'), 8223.44, 'travel expense - martinez plc')",Matched
2025-02-08,8391.01,insurance payout - allen-floyd,"(Timestamp('2025-02-08 00:00:00'), 8391.01, 'insurance payout - allen-floyd')",Matched
2025-02-12,5563.98,"customer refund - miller, gibson and myers","(Timestamp('2025-02-12 00:00:00'), 5563.98, 'customer refund - miller, gibson and myers')",Matched
2025-01-06,3249.95,"equipment purchase - barnes, higgins and phillips","(Timestamp('2025-01-06 00:00:00'), 3249.95, 'equipment purchase - barnes, higgins and phillips')",Matched
2025-02-19,9885.3,office rent - hicks-horn,"(Timestamp('2025-02-19 00:00:00'), 9885.3, 'office rent - hicks-horn')",Matched
2025-01-13,5306.92,"equipment purchase - shaw, johnson and hodge","(Timestamp('2025-01-13 00:00:00'), 5306.92, 'equipment purchase - shaw, johnson and hodge')",Matched
2025-03-25,895.12,"bank charges - strickland, moore and duncan","(Timestamp('2025-03-25 00:00:00'), 895.12, 'bank charges - strickland, moore and duncan')",Matched
2025-01-31,6348.49,travel expense - navarro and sons,"(Timestamp('2025-01-31 00:00:00'), 6348.49, 'travel expense - navarro and sons')",Matched
2025-01-30,7492.99,service fee - dyer-watson,"(Timestamp('2025-01-30 00:00:00'), 7492.99, 'service fee - dyer-watson')",Matched
2025-01-13,7627.66,vendor payment - nelson-williams,"(Timestamp('2025-01-13 00:00:00'), 7627.66, 'vendor payment - nelson-williams')",Matched
2025-02-18,6235.13,salary transfer - collins-cooper,"(Timestamp('2025-02-18 00:00:00'), 6235.13, 'salary transfer - collins-cooper')",Matched
2025-01-30,4665.38,"travel expense - robinson, kim and mason","(Timestamp('2025-01-30 00:00:00'), 4665.38, 'travel expense - robinson, kim and mason')",Matched
2025-01-26,9993.8,equipment purchase - cain llc,"(Timestamp('2025-01-26 00:00:00'), 9993.8, 'equipment purchase - cain llc')",Matched
2025-02-15,5790.64,"travel expense - cook, williams and miller","(Timestamp('2025-02-15 00:00:00'), 5790.64, 'travel expense - cook, williams and miller')",Matched
2025-01-03,9781.65,service fee - armstrong and sons,"(Timestamp('2025-01-03 00:00:00'), 9781.65, 'service fee - armstrong and sons')",Matched
2025-02-23,1838.84,office rent - davis ltd,"(Timestamp('2025-02-23 00:00:00'), 1838.84, 'office rent - davis ltd')",Matched
2025-03-13,3721.17,"service fee - robinson, johnson and elliott","(Timestamp('2025-03-13 00:00:00'), 3721.17, 'service fee - robinson, johnson and elliott')",Matched
2025-01-02,2718.14,vendor payment - parks-willis,"(Timestamp('2025-01-02 00:00:00'), 2718.14, 'vendor payment - parks-willis')",Matched
2025-03-16,3872.15,"bank charges - chase, bass and gregory","(Timestamp('2025-03-16 00:00:00'), 3872.15, 'bank charges - chase, bass and gregory')",Matched
2025-01-14,6780.88,"equipment purchase - peterson, ray and beck","(Timestamp('2025-01-14 00:00:00'), 6780.88, 'equipment purchase - peterson, ray and beck')",Matched
2025-01-18,3947.59,"bank charges - fernandez, johnson and smith","(Timestamp('2025-01-18 00:00:00'), 3947.59, 'bank charges - fernandez, johnson and smith')",Matched
2025-02-23,6583.73,equipment purchase - hampton plc,"(Timestamp('2025-02-23 00:00:00'), 6583.73, 'equipment purchase - hampton plc')",Matched
2025-01-03,600.73,bank charges - richardson ltd,"(Timestamp('2025-01-03 00:00:00'), 600.73, 'bank charges - richardson ltd')",Matched
2025-01-01,2845.02,office rent - dunn llc,"(Timestamp('2025-01-01 00:00:00'), 2845.02, 'office rent - dunn llc')",Matched
2025-01-17,247.12,salary transfer - steele-wilson,"(Timestamp('2025-01-17 00:00:00'), 247.12, 'salary transfer - steele-wilson')",Matched
2025-03-17,3305.34,office rent - fox plc,"(Timestamp('2025-03-17 00:00:00'), 3305.34, 'office rent - fox plc')",Matched
2025-02-11,6122.14,vendor payment - hamilton-atkinson,"(Timestamp('2025-02-11 00:00:00'), 6122.14, 'vendor payment - hamilton-atkinson')",Matched
2025-02-10,4324.96,travel expense - perkins group,"(Timestamp('2025-02-10 00:00:00'), 4324.96, 'travel expense - perkins group')",Matched
2025-01-09,1003.13,vendor payment - watson-marshall,"(Timestamp('2025-01-09 00:00:00'), 1003.13, 'vendor payment - watson-marshall')",Matched
2025-03-13,3738.85,"travel expense - carter, adams and fuller","(Timestamp('2025-03-13 00:00:00'), 3738.85, 'travel expense - carter, adams and fuller')",Matched
2025-01-09,1504.56,invoice payment - moses group,"(Timestamp('2025-01-09 00:00:00'), 1504.56, 'invoice payment - moses group')",Matched
2025-01-12,7486.51,salary transfer - hunter plc,"(Timestamp('2025-01-12 00:00:00'), 7486.51, 'salary transfer - hunter plc')",Matched
2025-01-21,3763.53,"bank charges - malone, zuniga and gentry","(Timestamp('2025-01-21 00:00:00'), 3763.53, 'bank charges - malone, zuniga and gentry')",Matched
2025-03-19,4476.24,"travel expense - robinson, lamb and robinson","(Timestamp('2025-03-19 00:00:00'), 4476.24, 'travel expense - robinson, lamb and robinson')",Matched
2025-02-14,4356.14,"travel expense - watkins, clark and garcia","(Timestamp('2025-02-14 00:00:00'), 4356.14, 'travel expense - watkins, clark and garcia')",Matched
2025-03-09,6704.61,invoice payment - perry-reed,"(Timestamp('2025-03-09 00:00:00'), 6704.61, 'invoice payment - perry-reed')",Matched
2025-01-29,4013.11,"insurance payout - lynn, hawkins and stein","(Timestamp('2025-01-29 00:00:00'), 4013.11, 'insurance payout - lynn, hawkins and stein')",Matched
2025-02-01,4413.2,service fee - mcguire-little,"(Timestamp('2025-02-01 00:00:00'), 4413.2, 'service fee - mcguire-little')",Matched
2025-02-13,2293.56,"office rent - cohen, walter and padilla","(Timestamp('2025-02-13 00:00:00'), 2293.56, 'office rent - cohen, walter and padilla')",Matched
2025-03-09,5148.53,"bank charges - guzman, allen and mahoney","(Timestamp('2025-03-09 00:00:00'), 5148.53, 'bank charges - guzman, allen and mahoney')",Matched
2025-03-25,846.0,equipment purchase - roy group,"(Timestamp('2025-03-25 00:00:00'), 846.0, 'equipment purchase - roy group')",Matched
2025-03-24,6389.45,"insurance payout - gray, houston and henderson","(Timestamp('2025-03-24 00:00:00'), 6389.45, 'insurance payout - gray, houston and henderson')",Matched
2025-01-05,663.21,travel expense - freeman and sons,"(Timestamp('2025-01-05 00:00:00'), 663.21, 'travel expense - freeman and sons')",Matched
2025-01-11,5095.04,office rent - wade ltd,"(Timestamp('2025-01-11 00:00:00'), 5095.04, 'office rent - wade ltd')",Matched
2025-02-26,5288.28,insurance payout - lopez-mckee,"(Timestamp('2025-02-26 00:00:00'), 5288.28, 'insurance payout - lopez-mckee')",Matched
2025-03-28,3926.99,"travel expense - howell, maldonado and ho","(Timestamp('2025-03-28 00:00:00'), 3926.99, 'travel expense - howell, maldonado and ho')",Matched
2025-02-09,5633.33,bank charges - gonzalez-jordan,"(Timestamp('2025-02-09 00:00:00'), 5633.33, 'bank charges - gonzalez-jordan')",Matched
2025-01-17,6734.15,"customer refund - evans, scott and gonzalez","(Timestamp('2025-01-17 00:00:00'), 6734.15, 'customer refund - evans, scott and gonzalez')",Matched
2025-02-13,9481.92,equipment purchase - hamilton-hall,"(Timestamp('2025-02-13 00:00:00'), 9481.92, 'equipment purchase - hamilton-hall')",Matched
2025-01-20,863.93,vendor payment - evans plc,"(Timestamp('2025-01-20 00:00:00'), 863.93, 'vendor payment - evans plc')",Matched
2025-01-05,6653.1,insurance payout - myers-johnson,"(Timestamp('2025-01-05 00:00:00'), 6653.1, 'insurance payout - myers-johnson')",Matched
2025-02-26,6144.89,"equipment purchase - smith, maddox and smith","(Timestamp('2025-02-26 00:00:00'), 6144.89, 'equipment purchase - smith, maddox and smith')",Matched
2025-02-17,6815.24,insurance payout - smith group,"(Timestamp('2025-02-17 00:00:00'), 6815.24, 'insurance payout - smith group')",Matched
2025-02-26,4670.63,"travel expense - davis, kane and walker","(Timestamp('2025-02-26 00:00:00'), 4670.63, 'travel expense - davis, kane and walker')",Matched
2025-01-21,8187.22,insurance payout - brown-villa,"(Timestamp('2025-01-21 00:00:00'), 8187.22, 'insurance payout - brown-villa')",Matched
2025-01-29,8185.36,bank charges - cook-ho,"(Timestamp('2025-01-29 00:00:00'), 8185.36, 'bank charges - cook-ho')",Matched
2025-01-04,4207.48,service fee - gonzales-young,"(Timestamp('2025-01-04 00:00:00'), 4207.48, 'service fee - gonzales-young')",Matched
2025-03-06,3802.22,service fee - robles group,"(Timestamp('2025-03-06 00:00:00'), 3802.22, 'service fee - robles group')",Matched
2025-03-09,4290.22,travel expense - burns-green,"(Timestamp('2025-03-09 00:00:00'), 4290.22, 'travel expense - burns-green')",Matched
2025-02-28,721.79,equipment purchase - reilly llc,"(Timestamp('2025-02-28 00:00:00'), 721.79, 'equipment purchase - reilly llc')",Matched
2025-03-15,2495.19,office rent - wagner-long,"(Timestamp('2025-03-15 00:00:00'), 2495.19, 'office rent - wagner-long')",Matched
2025-03-09,9749.08,vendor payment - garcia group,"(Timestamp('2025-03-09 00:00:00'), 9749.08, 'vendor payment - garcia group')",Matched
2025-01-06,6393.14,bank charges - reilly-herring,"(Timestamp('2025-01-06 00:00:00'), 6393.14, 'bank charges - reilly-herring')",Matched
2025-03-16,7378.35,"bank charges - webster, johnson and andrews","(Timestamp('2025-03-16 00:00:00'), 7378.35, 'bank charges - webster, johnson and andrews')",Matched
2025-03-22,1904.55,"office rent - martin, frank and wilkinson","(Timestamp('2025-03-22 00:00:00'), 1904.55, 'office rent - martin, frank and wilkinson')",Matched
2025-01-09,7188.85,equipment purchase - parker plc,"(Timestamp('2025-01-09 00:00:00'), 7188.85, 'equipment purchase - parker plc')",Matched
2025-02-13,9739.86,"equipment purchase - thompson, johnson and taylor","(Timestamp('2025-02-13 00:00:00'), 9739.86, 'equipment purchase - thompson, johnson and taylor')",Matched
2025-03-30,5025.48,customer refund - johnson-thompson,"(Timestamp('2025-03-30 00:00:00'), 5025.48, 'customer refund - johnson-thompson')",Matched
2025-02-04,8031.37,service fee - livingston-stokes,"(Timestamp('2025-02-04 00:00:00'), 8031.37, 'service fee - livingston-stokes')",Matched
2025-01-11,3346.41,"travel expense - rodriguez, williamson and patterson","(Timestamp('2025-01-11 00:00:00'), 3346.41, 'travel expense - rodriguez, williamson and patterson')",Matched
2025-01-22,6928.67,bank charges - banks ltd,"(Timestamp('2025-01-22 00:00:00'), 6928.67, 'bank charges - banks ltd')",Matched
2025-03-23,9802.27,invoice payment - hill-williams,"(Timestamp('2025-03-23 00:00:00'), 9802.27, 'invoice payment - hill-williams')",Matched
2025-02-16,5179.55,"office rent - cole, roberts and park","(Timestamp('2025-02-16 00:00:00'), 5179.55, 'office rent - cole, roberts and park')",Matched
2025-04-01,4518.1,"insurance payout - trevino, hall and johnson","(Timestamp('2025-04-01 00:00:00'), 4518.1, 'insurance payout - trevino, hall and johnson')",Matched
2025-02-06,6970.41,equipment purchase - harrell-day,"(Timestamp('2025-02-06 00:00:00'), 6970.41, 'equipment purchase - harrell-day')",Matched
2025-01-26,1314.11,vendor payment - williams group,"(Timestamp('2025-01-26 00:00:00'), 1314.11, 'vendor payment - williams group')",Matched
2025-02-27,1809.3,equipment purchase - maxwell-flynn,"(Timestamp('2025-02-27 00:00:00'), 1809.3, 'equipment purchase - maxwell-flynn')",Matched
2025-03-15,3752.22,customer refund - freeman inc,"(Timestamp('2025-03-15 00:00:00'), 3752.22, 'customer refund - freeman inc')",Matched
2025-01-17,6158.29,vendor payment - ochoa-thompson,"(Timestamp('2025-01-17 00:00:00'), 6158.29, 'vendor payment - ochoa-thompson')",Matched
2025-03-09,4166.87,"service fee - paul, gray and schmidt","(Timestamp('2025-03-09 00:00:00'), 4166.87, 'service fee - paul, gray and schmidt')",Matched
2025-01-26,6387.07,customer refund - murray ltd,"(Timestamp('2025-01-26 00:00:00'), 6387.07, 'customer refund - murray ltd')",Matched
2025-01-20,1794.89,"insurance payout - richard, kelly and hall","(Timestamp('2025-01-20 00:00:00'), 1794.89, 'insurance payout - richard, kelly and hall')",Matched
2025-03-19,3442.43,insurance payout - clarke llc,"(Timestamp('2025-03-19 00:00:00'), 3442.43, 'insurance payout - clarke llc')",Matched
2025-02-23,6219.27,invoice payment - jackson-davis,"(Timestamp('2025-02-23 00:00:00'), 6219.27, 'invoice payment - jackson-davis')",Matched
2025-02-07,6454.88,"travel expense - ramirez, camacho and bowman","(Timestamp('2025-02-07 00:00:00'), 6454.88, 'travel expense - ramirez, camacho and bowman')",Matched
